Id,Nome,Squadra,Ruolo_Classic,Ruolo_Mantra,Ruolo_Fantastats,Quot_Attuale,Quot_Iniziale,FantaValore
5841,Svilar,Roma,P,Por,POR,18,18,65
5116,Martinez Jo.,Inter,P,Por,POR,17,17,63
4431,Carnesecchi,Atalanta,P,Por,POR,16,16,52
6966,Butez,Como,P,Por,POR,16,16,56
4312,Maignan,Milan,P,Por,POR,15,15,50
2521,De Gea,Fiorentina,P,Por,POR,13,13,45
572,Meret,Napoli,P,Por,POR,11,11,45
133,Skorupski,Bologna,P,Por,POR,10,10,37
4360,Caprile,Cagliari,P,Por,POR,9,9,27
5876,Di Gregorio,Juventus,P,Por,POR,9,9,40
6482,Mandas,Lazio,P,Por,POR,9,9,30
6462,Okoye,Udinese,P,Por,POR,9,9,29
7332,Bijlow,Genoa,P,Por,POR,8,8,18
2134,Falcone,Lecce,P,Por,POR,8,8,25
7411,Daffara,Parma,P,Por,POR,7,7,5
6641,Suzuki,Parma,P,Por,POR,7,7,20
4236,Muric,Sassuolo,P,Por,POR,7,7,15
218,Perin,Juventus,P,Por,POR,6,6,10
6248,Stankovic F.,Venezia,P,Por,POR,6,6,14
4485,Thiam,Monza,P,Por,POR,5,5,12
2170,Milinkovic-Savic V.,Napoli,P,Por,POR,5,5,10
6415,Palmisani,Frosinone,P,Por,POR,4,4,8
7463,Desplanches,Frosinone,P,Por,POR,2,2,8
2814,Provedel,Inter,P,Por,POR,2,2,5
2297,Rossi F.,Atalanta,P,Por,POR,1,1,1
4,Sportiello,Atalanta,P,Por,POR,1,1,1
7533,Happonen,Bologna,P,Por,POR,1,1,1
7172,Pessina Mas.,Bologna,P,Por,POR,1,1,1
4929,Ciocci,Cagliari,P,Por,POR,1,1,1
6650,Sherri,Cagliari,P,Por,POR,1,1,1
7301,Tornqvist,Como,P,Por,POR,1,1,1
2809,Vigorito,Como,P,Por,POR,1,1,1
6403,Christensen O.,Fiorentina,P,Por,POR,1,1,1
158,Lezzerini,Fiorentina,P,Por,POR,1,1,1
7466,Lolic,Frosinone,P,Por,POR,1,1,1
219,Sommariva,Genoa,P,Por,POR,1,1,1
6569,Stolz,Genoa,P,Por,POR,1,1,1
1926,Di Gennaro,Inter,P,Por,POR,1,1,1
1930,Pinsoglio,Juventus,P,Por,POR,1,1,1
7337,Motta,Lazio,P,Por,POR,1,1,1
7534,Renzetti,Lazio,P,Por,POR,1,1,1
2401,Fruchtl,Lecce,P,Por,POR,1,1,1
6523,Samooja,Lecce,P,Por,POR,1,1,1
2815,Terracciano,Milan,P,Por,POR,1,1,1
6813,Torriani,Milan,P,Por,POR,1,1,1
6682,Pizzignacco,Monza,P,Por,POR,1,1,1
7475,Strajnar,Monza,P,Por,POR,1,1,1
2845,Contini,Napoli,P,Por,POR,1,1,1
6662,Corvi,Parma,P,Por,POR,1,1,1
7048,De Marzi,Roma,P,Por,POR,1,1,1
610,Gollini,Roma,P,Por,POR,1,1,1
4518,Russo A.,Sassuolo,P,Por,POR,1,1,1
4867,Turati,Sassuolo,P,Por,POR,1,1,3
7457,Mascardi,Torino,P,Por,POR,1,1,1
5320,Paleari,Torino,P,Por,POR,1,1,1
7363,Siviero,Torino,P,Por,POR,1,1,1
543,Padelli,Udinese,P,Por,POR,1,1,1
5707,Piana,Udinese,P,Por,POR,1,1,1
6671,Grandi,Venezia,P,Por,POR,1,1,1
7531,Pozzi,Venezia,P,Por,POR,1,1,1
254,Dimarco,Inter,D,E;W,ES;T,32,32,265
7181,Wesley,Roma,D,E,T,17,17,90
