sorare_slug,display_name,first_name,last_name,sorare_club,our_team,league,country,age,position
berat-djimsiti,Berat Djimsiti,Berat,Djimsiti,Atalanta Bergamasca Calcio,Atalanta,serie-a-it,alb,33,Defender
daniel-maldini,Daniel Maldini,Daniel,Maldini,Atalanta Bergamasca Calcio,Atalanta,serie-a-it,ita,24,Forward
davide-zappacosta,Davide Zappacosta,Davide,Zappacosta,Atalanta Bergamasca Calcio,Atalanta,serie-a-it,ita,34,Defender
francesco-rossi,Francesco Rossi,Francesco,Rossi,Atalanta Bergamasca Calcio,Atalanta,serie-a-it,ita,35,Goalkeeper
gianluca-scamacca,Gianluca Scamacca,Gianluca,Scamacca,Atalanta Bergamasca Calcio,Atalanta,serie-a-it,ita,27,Forward
giorgio-scalvini,Giorgio Scalvini,Giorgio,Scalvini,Atalanta Bergamasca Calcio,Atalanta,serie-a-it,ita,22,Defender
lazar-samardzic,Lazar Samardžić,Lazar,Samardžić,Atalanta Bergamasca Calcio,Atalanta,serie-a-it,srb,24,Midfielder
marco-carnesecchi,Marco Carnesecchi,Marco,Carnesecchi,Atalanta Bergamasca Calcio,Atalanta,serie-a-it,ita,26,Goalkeeper
raoul-bellanova,Raoul Bellanova,Raoul,Bellanova,Atalanta Bergamasca Calcio,Atalanta,serie-a-it,ita,26,Defender
antonio-raimondo,Antonio Raimondo,Antonio,Raimondo,Bologna FC 1909,Bologna,serie-a-it,ita,22,Forward
benjamin-dominguez,Benjamín Domínguez,Benjamín,Domínguez,Bologna FC 1909,Bologna,serie-a-it,arg,22,Forward
jens-odgaard,Jens Odgaard,Jens,Odgaard,Bologna FC 1909,Bologna,serie-a-it,dnk,27,Forward
juan-miranda-gonzalez,Juan Miranda,Juan,Miranda,Bologna FC 1909,Bologna,serie-a-it,esp,26,Defender
lorenzo-de-silvestri,Lorenzo De Silvestri,Lorenzo,De Silvestri,Bologna FC 1909,Bologna,serie-a-it,ita,38,Defender
lukasz-skorupski,Łukasz Skorupski,Łukasz,Skorupski,Bologna FC 1909,Bologna,serie-a-it,pol,35,Goalkeeper
nicolo-cambiaghi,Nicolò Cambiaghi,Nicolò,Cambiaghi,Bologna FC 1909,Bologna,serie-a-it,ita,25,Forward
nicolo-casale,Nicolò Casale,Nicolò,Casale,Bologna FC 1909,Bologna,serie-a-it,ita,28,Defender
riccardo-orsolini,Riccardo Orsolini,Riccardo,Orsolini,Bologna FC 1909,Bologna,serie-a-it,ita,29,Forward
thijs-dallinga,Thijs Dallinga,Thijs,Dallinga,Bologna FC 1909,Bologna,serie-a-it,nld,25,Forward
tommaso-pobega,Tommaso Pobega,Tommaso,Pobega,Bologna FC 1909,Bologna,serie-a-it,ita,27,Midfielder
alessandro-deiola,Alessandro Deiola,Alessandro,Deiola,Cagliari Calcio,Cagliari,serie-a-it,ita,31,Midfielder
elia-caprile,Elia Caprile,Elia,Caprile,Cagliari Calcio,Cagliari,serie-a-it,ita,24,Goalkeeper
gabriele-zappa,Gabriele Zappa,Gabriele,Zappa,Cagliari Calcio,Cagliari,serie-a-it,ita,26,Defender
alex-valle-gomez,Álex Valle,Álex,Valle,Calcio Como,Como,serie-a-it,esp,22,Defender
edoardo-goldaniga,Edoardo Goldaniga,Edoardo,Goldaniga,Calcio Como,Como,serie-a-it,ita,32,Defender
ignace-van-der-brempt,Ignace Van der Brempt,Ignace,Van der Brempt,Calcio Como,Como,serie-a-it,bel,24,Defender
ivan-smolcic,Ivan Smolčić,Ivan,Smolčić,Calcio Como,Como,serie-a-it,hrv,25,Defender
jean-butez,Jean Butez,Jean,Butez,Calcio Como,Como,serie-a-it,fra,31,Goalkeeper
luca-mazzitelli,Luca Mazzitelli,Luca,Mazzitelli,Calcio Como,Como,serie-a-it,ita,30,Midfielder
matthias-braunoder,Matthias Braunöder,Matthias,Braunöder,Calcio Como,Como,serie-a-it,aut,24,Midfielder
maxence-caqueret,Maxence Caqueret,Maxence,Caqueret,Calcio Como,Como,serie-a-it,fra,26,Midfielder
maximo-perrone,Maximo Perrone,Maximo,Perrone,Calcio Como,Como,serie-a-it,arg,23,Midfielder
anastasios-douvikas,Tasos Douvikas,Tasos,Douvikas,Calcio Como,Como,serie-a-it,grc,26,Forward
abdelhamid-sabiri,Abdelhamid Sabiri,Abdelhamid,Sabiri,ACF Fiorentina,Fiorentina,serie-a-it,mar,29,Midfielder
albert-gudmundsson,Albert Guðmundsson,Albert,Guðmundsson,ACF Fiorentina,Fiorentina,serie-a-it,isl,29,Forward
cher-ndour,Cher Ndour,Cher,Ndour,ACF Fiorentina,Fiorentina,serie-a-it,ita,22,Midfielder
david-de-gea-quintana,David de Gea,David,de Gea,ACF Fiorentina,Fiorentina,serie-a-it,esp,35,Goalkeeper
domilson-cordeiro-dos-santos,Dodô,Dodô,,ACF Fiorentina,Fiorentina,serie-a-it,bra,27,Defender
fabiano-parisi,Fabiano Parisi,Fabiano,Parisi,ACF Fiorentina,Fiorentina,serie-a-it,ita,25,Defender
luca-ranieri,Luca Ranieri,Luca,Ranieri,ACF Fiorentina,Fiorentina,serie-a-it,ita,27,Defender
moise-bioty-kean,Moise Kean,Moise,Kean,ACF Fiorentina,Fiorentina,serie-a-it,ita,26,Forward
nicolo-fagioli,Nicolò Fagioli,Nicolò,Fagioli,ACF Fiorentina,Fiorentina,serie-a-it,ita,25,Midfielder
rolando-mandragora,Rolando Mandragora,Rolando,Mandragora,ACF Fiorentina,Fiorentina,serie-a-it,ita,29,Midfielder
aaron-martin-caricol,Aarón Martín,Aarón,Martín,Genoa CFC,Genoa,serie-a-it,esp,29,Defender
brooke-dion-nelson-norton-cuffy,Brooke Norton-Cuffy,Brooke,Norton-Cuffy,Genoa CFC,Genoa,serie-a-it,eng,22,Defender
caleb-ekuban,Caleb Ekuban,Caleb,Ekuban,Genoa CFC,Genoa,serie-a-it,gha,32,Forward
daniele-sommariva,Daniele Sommariva,Daniele,Sommariva,Genoa CFC,Genoa,serie-a-it,ita,29,Goalkeeper
junior-messias,Junior Messias,Junior,Messias,Genoa CFC,Genoa,serie-a-it,bra,35,Forward
morten-frendrup,Morten Frendrup,Morten,Frendrup,Genoa CFC,Genoa,serie-a-it,dnk,25,Midfielder
vitor-manuel-carvalho-oliveira,Vitinha,Vitinha,,Genoa CFC,Genoa,serie-a-it,prt,26,Forward
alan-patrick-lourenco,Alan Patrick,Alan Patrick,,SC Internacional,Inter,campeonato-brasileiro-serie-a,bra,35,Midfielder
alessandro-bastoni,Alessandro Bastoni,Alessandro,Bastoni,FC Internazionale Milano,Inter,serie-a-it,ita,27,Defender
alexandro-ezequiel-bernabei,Alexandro Bernabei,Alexandro,Bernabei,SC Internacional,Inter,campeonato-brasileiro-serie-a,arg,25,Defender
carlos-augusto-zopalato-neves,Carlos Augusto,Carlos Augusto,,FC Internazionale Milano,Inter,serie-a-it,bra,27,Midfielder
davide-frattesi,Davide Frattesi,Davide,Frattesi,FC Internazionale Milano,Inter,serie-a-it,ita,26,Midfielder
federico-dimarco,Federico Dimarco,Federico,Dimarco,FC Internazionale Milano,Inter,serie-a-it,ita,28,Defender
henrikh-mkhitaryan,Henrikh Mkhitaryan,Henrikh,Mkhitaryan,FC Internazionale Milano,Inter,serie-a-it,arm,37,Midfielder
jose-carlos-ferreira-junior,Juninho,Juninho,,SC Internacional,Inter,campeonato-brasileiro-serie-a,bra,31,Defender
nicolo-barella,Nicolò Barella,Nicolò,Barella,FC Internazionale Milano,Inter,serie-a-it,ita,29,Midfielder
thiago-maia-alencar,Thiago Maia,Thiago,Maia,SC Internacional,Inter,campeonato-brasileiro-serie-a,bra,29,Midfielder
andrea-cambiaso,Andrea Cambiaso,Andrea,Cambiaso,Juventus FC,Juventus,serie-a-it,ita,26,Defender
arkadiusz-milik,Arkadiusz Milik,Arkadiusz,Milik,Juventus FC,Juventus,serie-a-it,pol,32,Forward
carlo-pinsoglio,Carlo Pinsoglio,Carlo,Pinsoglio,Juventus FC,Juventus,serie-a-it,ita,36,Goalkeeper
dusan-vlahovic,Dušan Vlahović,Dušan,Vlahović,Juventus FC,Juventus,serie-a-it,srb,26,Forward
gianluca-zambrotta,Gianluca Zambrotta,Gianluca,Zambrotta,Juventus FC,Juventus,serie-a-it,ita,49,Defender
khephren-thuram-ulien,Khéphren Thuram,Khéphren,Thuram,Juventus FC,Juventus,serie-a-it,fra,25,Midfielder
lloyd-kelly,Lloyd Kelly,Lloyd,Kelly,Juventus FC,Juventus,serie-a-it,eng,27,Defender
manuel-locatelli,Manuel Locatelli,Manuel,Locatelli,Juventus FC,Juventus,serie-a-it,ita,28,Midfielder
mattia-perin,Mattia Perin,Mattia,Perin,Juventus FC,Juventus,serie-a-it,ita,33,Goalkeeper
mauro-german-camoranesi,Mauro Camoranesi,Mauro,Camoranesi,Juventus FC,Juventus,serie-a-it,ita,49,Defender
michele-di-gregorio,Michele Di Gregorio,Michele,Di Gregorio,Juventus FC,Juventus,serie-a-it,ita,29,Goalkeeper
pavel-nedved,Pavel Nedved,Pavel,Nedved,Juventus FC,Juventus,serie-a-it,cze,53,Midfielder
adam-marusic,Adam Marušić,Adam,Marušić,SS Lazio,Lazio,serie-a-it,mne,33,Defender
alessandro-nesta,Alessandro Nesta,Alessandro,Nesta,SS Lazio,Lazio,serie-a-it,ita,50,Defender
alessio-furlanetto,Alessio Furlanetto,Alessio,Furlanetto,SS Lazio,Lazio,serie-a-it,ita,24,Goalkeeper
alessio-romagnoli,Alessio Romagnoli,Alessio,Romagnoli,SS Lazio,Lazio,serie-a-it,ita,31,Defender
boulaye-dia,Boulaye Dia,Boulaye,Dia,SS Lazio,Lazio,serie-a-it,sen,29,Forward
davide-renzetti,Davide Renzetti,Davide,Renzetti,SS Lazio,Lazio,serie-a-it,ita,20,Goalkeeper
filipe-bordon,Filipe Bordon,Filipe,Bordon,SS Lazio,Lazio,serie-a-it,bra,21,Defender
fisayo-dele-bashiru,Fisayo Dele-Bashiru,Fisayo,Dele-Bashiru,SS Lazio,Lazio,serie-a-it,nga,25,Midfielder
gustav-tang-isaksen,Gustav Isaksen,Gustav,Isaksen,SS Lazio,Lazio,serie-a-it,dnk,25,Forward
juan-sebastian-veron,Juan Sebastián Verón,Juan Sebastián,Verón,SS Lazio,Lazio,serie-a-it,arg,51,Midfielder
luca-pellegrini,Luca Pellegrini,Luca,Pellegrini,SS Lazio,Lazio,serie-a-it,ita,27,Defender
manuel-lazzari,Manuel Lazzari,Manuel,Lazzari,SS Lazio,Lazio,serie-a-it,ita,32,Midfielder
mattia-zaccagni,Mattia Zaccagni,Mattia,Zaccagni,SS Lazio,Lazio,serie-a-it,ita,31,Midfielder
nicolo-rovella,Nicolò Rovella,Nicolò,Rovella,SS Lazio,Lazio,serie-a-it,ita,24,Midfielder
nuno-albertino-varela-tavares,Nuno Tavares,Nuno,Tavares,SS Lazio,Lazio,serie-a-it,prt,26,Defender
oliver-provstgaard-nielsen,Oliver Provstgaard,Oliver,Provstgaard,SS Lazio,Lazio,serie-a-it,dnk,23,Defender
patricio-gabarron-gil,Patric,Patric,,SS Lazio,Lazio,serie-a-it,esp,33,Defender
reda-belahyane,Reda Belahyane,Reda,Belahyane,SS Lazio,Lazio,serie-a-it,mar,22,Midfielder
samuel-gigot,Samuel Gigot,Samuel,Gigot,SS Lazio,Lazio,serie-a-it,fra,32,Defender
tijanni-noslin,Tijanni Noslin,Tijanni,Noslin,SS Lazio,Lazio,serie-a-it,nld,27,Forward
alexandru-gabriel-borbei,Alexandru Borbei,Alexandru,Borbei,US Lecce,Lecce,serie-a-it,rou,23,Goalkeeper
antonino-gallo,Antonino Gallo,Antonino,Gallo,US Lecce,Lecce,serie-a-it,ita,26,Defender
christian-fruchtl,Christian Früchtl,Christian,Früchtl,US Lecce,Lecce,serie-a-it,deu,26,Goalkeeper
danilo-filipe-melo-veiga,Danilo Veiga,Danilo,Veiga,US Lecce,Lecce,serie-a-it,prt,23,Defender
gaby-jean,Gaby Jean,Gaby,Jean,US Lecce,Lecce,serie-a-it,fra,26,Defender
jasper-lauri-petteri-samooja,Jasper Samooja,Jasper,Samooja,US Lecce,Lecce,serie-a-it,fin,23,Goalkeeper
kialonda-gaspar,Kialonda Gaspar,Kialonda,Gaspar,US Lecce,Lecce,serie-a-it,ago,28,Defender
konan-ignace-jocelyn-n-dri,Konan Jocelyn N’Dri,Konan,Jocelyn N’Dri,US Lecce,Lecce,serie-a-it,civ,25,Midfielder
lameck-banda,Lameck Banda,Lameck,Banda,US Lecce,Lecce,serie-a-it,zmb,25,Forward
lassana-coulibaly-1996-04-10,Lassana Coulibaly,Lassana,Coulibaly,US Lecce,Lecce,serie-a-it,mli,30,Midfielder
medon-berisha,Medon Berisha,Medon,Berisha,US Lecce,Lecce,serie-a-it,alb,22,Midfielder
santiago-pierotti,Santiago Pierotti,Santiago,Pierotti,US Lecce,Lecce,serie-a-it,arg,25,Forward
sebastian-esposito,Sebastian Esposito,Sebastian,Esposito,US Lecce,Lecce,serie-a-it,aus,21,Defender
tiago-gabriel-coelho-oliveira,Tiago Gabriel,Tiago Gabriel,,US Lecce,Lecce,serie-a-it,prt,21,Defender
vernon-jordan-akrasi-addo,Vernon Addo,Vernon,Addo,US Lecce,Lecce,serie-a-it,nld,21,Defender
wladimiro-falcone,Wladimiro Falcone,Wladimiro,Falcone,US Lecce,Lecce,serie-a-it,ita,31,Goalkeeper
alessandro-costacurta,Alessandro Costacurta,Alessandro,Costacurta,AC Milan,Milan,serie-a-it,ita,60,Defender
fikayo-tomori,Fikayo Tomori,Fikayo,Tomori,AC Milan,Milan,serie-a-it,eng,28,Defender
filippo-terracciano,Filippo Terracciano,Filippo,Terracciano,AC Milan,Milan,serie-a-it,ita,23,Defender
francesco-camarda,Francesco Camarda,Francesco,Camarda,AC Milan,Milan,serie-a-it,ita,18,Forward
franco-baresi,Franco Baresi,Franco,Baresi,AC Milan,Milan,serie-a-it,ita,66,Defender
lorenzo-torriani,Lorenzo Torriani,Lorenzo,Torriani,AC Milan,Milan,serie-a-it,ita,21,Goalkeeper
matteo-gabbia,Matteo Gabbia,Matteo,Gabbia,AC Milan,Milan,serie-a-it,ita,26,Defender
oliver-bierhoff,Oliver Bierhoff,Oliver,Bierhoff,AC Milan,Milan,serie-a-it,deu,58,Forward
ruben-loftus-cheek,Ruben Loftus-Cheek,Ruben,Loftus-Cheek,AC Milan,Milan,serie-a-it,eng,30,Midfielder
silvano-cliff-robbie-vos,Silvano Vos,Silvano,Vos,AC Milan,Milan,serie-a-it,nld,21,Midfielder
strahinja-pavlovic,Strahinja Pavlović,Strahinja,Pavlović,AC Milan,Milan,serie-a-it,srb,25,Defender
warren-bondo,Warren Bondo,Warren,Bondo,AC Milan,Milan,serie-a-it,fra,22,Midfielder
youssouf-fofana,Youssouf Fofana,Youssouf,Fofana,AC Milan,Milan,serie-a-it,fra,27,Midfielder
yunus-musah,Yunus Musah,Yunus,Musah,AC Milan,Milan,serie-a-it,usa,23,Midfielder
alessandro-buongiorno,Alessandro Buongiorno,Alessandro,Buongiorno,SSC Napoli,Napoli,serie-a-it,ita,27,Defender
alex-meret,Alex Meret,Alex,Meret,SSC Napoli,Napoli,serie-a-it,ita,29,Goalkeeper
amir-rrahmani,Amir Rrahmani,Amir,Rrahmani,SSC Napoli,Napoli,serie-a-it,XXK,32,Defender
andre-frank-zambo-anguissa,André-Frank Zambo Anguissa,André-Frank,Zambo Anguissa,SSC Napoli,Napoli,serie-a-it,cmr,30,Midfielder
david-neres-campos,David Neres,David,Neres,SSC Napoli,Napoli,serie-a-it,bra,29,Forward
giovanni-di-lorenzo,Giovanni Di Lorenzo,Giovanni,Di Lorenzo,SSC Napoli,Napoli,serie-a-it,ita,32,Defender
leonardo-spinazzola,Leonardo Spinazzola,Leonardo,Spinazzola,SSC Napoli,Napoli,serie-a-it,ita,33,Defender
matteo-politano,Matteo Politano,Matteo,Politano,SSC Napoli,Napoli,serie-a-it,ita,32,Forward
nikita-contini-baranovsky,Nikita Contini Baranovsky,Nikita,Contini Baranovsky,SSC Napoli,Napoli,serie-a-it,ita,30,Goalkeeper
pasquale-mazzocchi,Pasquale Mazzocchi,Pasquale,Mazzocchi,SSC Napoli,Napoli,serie-a-it,ita,31,Defender
stanislav-lobotka,Stanislav Lobotka,Stanislav,Lobotka,SSC Napoli,Napoli,serie-a-it,svk,31,Midfielder
emanuele-valeri,Emanuele Valeri,Emanuele,Valeri,Parma Calcio 1913,Parma,serie-a-it,ita,27,Defender
jacob-ondrejka,Jacob Ondrejka,Jacob,Ondrejka,Parma Calcio 1913,Parma,serie-a-it,swe,23,Forward
jose-angel-esmoris-tasende,Angeliño,Angeliño,,AS Roma,Roma,serie-a-it,esp,29,Defender
bryan-cristante,Bryan Cristante,Bryan,Cristante,AS Roma,Roma,serie-a-it,ita,31,Midfielder
gianluca-mancini,Gianluca Mancini,Gianluca,Mancini,AS Roma,Roma,serie-a-it,ita,30,Defender
lorenzo-pellegrini,Lorenzo Pellegrini,Lorenzo,Pellegrini,AS Roma,Roma,serie-a-it,ita,30,Midfielder
paulo-bruno-exequiel-dybala,Paulo Dybala,Paulo,Dybala,AS Roma,Roma,serie-a-it,arg,32,Forward
mile-svilar,Svilar,,Svilar,AS Roma,Roma,serie-a-it,srb,26,Goalkeeper
tommaso-baldanzi,Tommaso Baldanzi,Tommaso,Baldanzi,AS Roma,Roma,serie-a-it,ita,23,Forward
andrea-pinamonti,Andrea Pinamonti,Andrea,Pinamonti,US Sassuolo Calcio,Sassuolo,serie-a-it,ita,27,Forward
armand-lauriente,Armand Laurienté,Armand,Laurienté,US Sassuolo Calcio,Sassuolo,serie-a-it,fra,27,Forward
daniel-boloca,Daniel Boloca,Daniel,Boloca,US Sassuolo Calcio,Sassuolo,serie-a-it,rou,27,Midfielder
domenico-berardi,Domenico Berardi,Domenico,Berardi,US Sassuolo Calcio,Sassuolo,serie-a-it,ita,32,Forward
filippo-missori,Filippo Missori,Filippo,Missori,US Sassuolo Calcio,Sassuolo,serie-a-it,ita,22,Defender
josh-doig,Josh Doig,Josh,Doig,US Sassuolo Calcio,Sassuolo,serie-a-it,sco,24,Defender
luca-lipani,Luca Lipani,Luca,Lipani,US Sassuolo Calcio,Sassuolo,serie-a-it,ita,21,Midfielder
aaron-ciammaglichella,Aaron Ciammaglichella,Aaron,Ciammaglichella,Torino FC,Torino,serie-a-it,ita,21,Midfielder
adrien-tameze,Adrien Tameze,Adrien,Tameze,Torino FC,Torino,serie-a-it,fra,32,Midfielder
alberto-paleari,Alberto Paleari,Alberto,Paleari,Torino FC,Torino,serie-a-it,ita,33,Goalkeeper
ali-dembele,Ali Dembélé,Ali,Dembélé,Torino FC,Torino,serie-a-it,fra,22,Defender
cesare-casadei,Cesare Casadei,Cesare,Casadei,Torino FC,Torino,serie-a-it,ita,23,Midfielder
come-bianay-balcot,Côme Bianay Balcot,Côme,Bianay Balcot,Torino FC,Torino,serie-a-it,fra,21,Defender
cristiano-biraghi,Cristiano Biraghi,Cristiano,Biraghi,Torino FC,Torino,serie-a-it,ita,33,Defender
duvan-esteban-zapata-banguera,Duván Zapata,Duván,Zapata,Torino FC,Torino,serie-a-it,col,35,Forward
emirhan-ilkhan,Emirhan İlkhan,Emirhan,İlkhan,Torino FC,Torino,serie-a-it,tur,22,Midfielder
gvidas-gineitis,Gvidas Gineitis,Gvidas,Gineitis,Torino FC,Torino,serie-a-it,ltu,22,Midfielder
ivan-ilic,Ivan Ilić,Ivan,Ilić,Torino FC,Torino,serie-a-it,srb,25,Midfielder
saul-basilio-coco-bassey-oubina,Saúl Coco,Saúl Coco,,Torino FC,Torino,serie-a-it,gnq,27,Defender
zannetos-savva,Zanos Savva,Zanos,Savva,Torino FC,Torino,serie-a-it,cyp,20,Forward
christian-kabasele,Christian Kabasele,Christian,Kabasele,Udinese Calcio,Udinese,serie-a-it,bel,35,Defender
daniele-padelli,Daniele Padelli,Daniele,Padelli,Udinese Calcio,Udinese,serie-a-it,ita,40,Goalkeeper
david-pejicic,David Pejičić,David,Pejičić,Udinese Calcio,Udinese,serie-a-it,svn,19,Midfielder
hassane-kamara,Hassane Kamara,Hassane,Kamara,Udinese Calcio,Udinese,serie-a-it,civ,32,Defender
james-abankwah,James Abankwah,James,Abankwah,Udinese Calcio,Udinese,serie-a-it,irl,22,Defender
jordan-zemura,Jordan Zemura,Jordan,Zemura,Udinese Calcio,Udinese,serie-a-it,zwe,26,Defender
jurgen-ekkelenkamp,Jurgen Ekkelenkamp,Jurgen,Ekkelenkamp,Udinese Calcio,Udinese,serie-a-it,nld,26,Midfielder
keinan-davis,Keinan Davis,Keinan,Davis,Udinese Calcio,Udinese,serie-a-it,eng,28,Forward
kingsley-ehizibue,Kingsley Ehizibue,Kingsley,Ehizibue,Udinese Calcio,Udinese,serie-a-it,nga,31,Defender
leonardo-daniel-ulineia-buta,Leonardo Buta,Leonardo,Buta,Udinese Calcio,Udinese,serie-a-it,prt,24,Defender
maduka-okoye,Maduka Okoye,Maduka,Okoye,Udinese Calcio,Udinese,serie-a-it,nga,26,Goalkeeper
matteo-palma,Matteo Palma,Matteo,Palma,Udinese Calcio,Udinese,serie-a-it,deu,18,Defender
oier-zarraga-egana,Oier Zarraga,Oier,Zarraga,Udinese Calcio,Udinese,serie-a-it,esp,27,Midfielder
oumar-solet-bomawoko,Oumar Solet,Oumar,Solet,Udinese Calcio,Udinese,serie-a-it,fra,26,Defender
rui-manuel-muati-modesto,Rui Modesto,Rui,Modesto,Udinese Calcio,Udinese,serie-a-it,ago,26,Midfielder
sandi-lovric,Sandi Lovrić,Sandi,Lovrić,Udinese Calcio,Udinese,serie-a-it,svn,28,Midfielder
simone-pafundi,Simone Pafundi,Simone,Pafundi,Udinese Calcio,Udinese,serie-a-it,ita,20,Midfielder
thomas-kristensen,Thomas Kristensen,Thomas,Kristensen,Udinese Calcio,Udinese,serie-a-it,dnk,24,Defender
