player_id,player_name,player_team,role_classic,role_mantra,role_fantastats
513,Acerbi,Inter,D,Dc,DC
6677,Adzic,Juventus,C,C;T,C;Tq
5784,Aebischer,Pisa,C,C,C
6916,Ahanor,Atalanta,D,B;Ds;E,DC;T
6593,Akinsanmiro,Pisa,C,C;T,C;Tq
7010,Al-Musrati,Verona,C,M;C,C
7338,Albarracin,Cagliari,A,A,ATT
7341,Amorim,Genoa,C,M;C,C
7143,Angori,Pisa,D,Ds;E,T
7277,Arena A.,Roma,A,Pc,ATT
7312,Arizala,Udinese,D,Ds;E,T
7211,Athekame,Milan,D,Dd;E,T
6908,Atta,Udinese,C,C,C
761,Audero,Cremonese,P,Por,POR
7377,Balbo,Fiorentina,D,Ds;E,T
5823,Baldanzi,Genoa,C,T;A,ATT;Tq
7262,Balentien,Milan,A,A,ATT
6013,Barbieri,Cremonese,D,Dd;Ds;E,T
5674,Basic,Lazio,C,C,C
7253,Bella-Kotchap,Verona,D,Dc,DC
441,Belotti,Cagliari,A,Pc,ATT
6666,Bernabè,Parma,C,C,C
7219,Bernasconi,Atalanta,D,E,T
6217,Bisseck,Inter,D,Dc,DC
5992,Bondo,Cremonese,C,M;C,C
6669,Bonny,Inter,A,Pc,ATT
6243,Borrelli,Cagliari,A,Pc,ATT
7239,Braschi,Fiorentina,A,Pc,ATT
2788,Bremer,Juventus,D,Dc,DC
7255,Britschgi,Parma,D,Dd;Ds;E,T
7042,Calligaris,Inter,P,Por,POR
6519,Camarda,Lecce,A,Pc,ATT
6985,Candè,Sassuolo,D,Ds;Dc,DC;T
7139,Canestrelli,Pisa,D,Dc,DC
6572,Castro S.,Bologna,A,Pc,ATT
7261,Cavlina,Como,P,Por,POR
1891,Ceccherini,Cremonese,D,Dd;Dc,DC;T
4657,Celik,Roma,D,B;Dd;E,DC;T
7222,Cham,Verona,D,Dd;Ds;E,T
6439,Cheddira,Lecce,A,Pc,ATT
6403,Christensen O.,Fiorentina,P,Por,POR
4929,Ciocci,Cagliari,P,Por,POR
7132,Collocolo,Cremonese,C,M;C,C
6495,Comuzzo,Fiorentina,D,Dc,DC
